id;user_id;key;value
1;payment Tunisian invoice;Account mission-critical mindshare;orange groupware
2;Kip Direct;Rupee;architecture Card
3;HDD Fresh Music;Buckinghamshire artificial;index deliverables even-keeled
4;invoice Investor Auto;primary JBOD;Haven mission-critical
5;Dinar reintermediate Cocos;Serbian Incredible cross-platform;invoice Incredible Movies
6;deploy web-readiness Inlet;1080p Haven Global;payment RAM pixel
7;Refined invoice;Frozen panel Incredible;Chair Plastic reboot
8;Distributed;Games quantifying Soft;Object-based Supervisor asymmetric
9;high-level;tolerance;Mouse Zimbabwe
10;Configuration;Cotton;Falls wireless
